Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Max Air Temp (F),qc,Min Air Temp (F),qc,Avg Air Temp (F),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (F),qc,Avg Wind Speed (mph),qc,Wind Run (miles),qc,Avg Soil Temp (F),qc
2,FivePoints,San Joaquin Valley,1/1/2015,001,0.05, ,0.00, ,236, ,4.5, ,53.6, ,22.7, ,35.2, ,92, ,29, ,64, ,24.3, ,2.7, ,65.1, ,47.9, 
2,FivePoints,San Joaquin Valley,1/2/2015,002,0.05, ,0.00, ,235, ,4.8, ,53.3, ,23.9, ,36.1, ,90, ,36, ,66, ,25.9, ,2.9, ,70.8, ,47.1, 
2,FivePoints,San Joaquin Valley,1/3/2015,003,0.05, ,0.00, ,231, ,5.2, ,56.1, ,24.8, ,38.1, ,91, ,37, ,67, ,28.1, ,2.5, ,60.8, ,46.8, 
2,FivePoints,San Joaquin Valley,1/4/2015,004,0.05, ,0.00, ,193, ,5.6, ,57.1, ,26.3, ,39.3, ,90, ,41, ,69, ,29.8, ,3.0, ,72.3, ,46.8, 
2,FivePoints,San Joaquin Valley,1/5/2015,005,0.05, ,0.00, ,220, ,6.3, ,59.8, ,29.6, ,42.3, ,90, ,40, ,68, ,32.6, ,2.8, ,66.1, ,47.1, 
2,FivePoints,San Joaquin Valley,1/6/2015,006,0.06, ,0.00, ,228, ,6.9, ,66.3, ,31.5, ,44.8, ,91, ,37, ,68, ,34.9, ,2.8, ,67.4, ,47.5, 
2,FivePoints,San Joaquin Valley,1/7/2015,007,0.05, ,0.00, ,219, ,7.9, ,66.8, ,32.1, ,46.7, ,90, ,43, ,73, ,38.4, ,2.5, ,59.6, ,48.1, 
2,FivePoints,San Joaquin Valley,1/8/2015,008,0.06, ,0.00, ,197, ,8.8, ,66.5, ,34.7, ,49.8, ,92, ,50, ,72, ,41.3, ,3.3, ,79.7, ,49.0, 
2,FivePoints,San Joaquin Valley,1/9/2015,009,0.03, ,0.00, ,139, ,10.4, ,64.0, ,44.5, ,52.1, ,89, ,59, ,78, ,45.5, ,2.7, ,64.9, ,50.3, 
2,FivePoints,San Joaquin Valley,1/10/2015,010,0.05, ,0.00, ,199, ,10.1, ,66.5, ,42.7, ,53.2, ,91, ,51, ,73, ,44.9, ,2.8, ,68.0, ,51.4, 
